,Home,Away,HW,D,AW,outcome,B365H,B365D,B365A,predicted_outcome,predicted_percent,payouts,total_payouts
107,24,38,0.6230123514924738,0.22206144333461952,0.17192467937413078,0,1.88,3.8,3.75,0,0.6230123514924738,94.0,949.5
108,11,10,0.39345212550959485,0.2566464130405941,0.36882053941500076,2,3.2,3.0,2.45,0,0.39345212550959485,-50.0,899.5
109,25,11,0.6874697764871072,0.1871029336067035,0.13811634444521484,0,1.2,6.5,15.0,0,0.6874697764871072,60.0,909.5
110,11,23,0.33327714510195294,0.24610276980554663,0.4389632794020458,1,3.0,3.3,2.35,2,0.4389632794020458,-50.0,859.5
111,18,11,0.6286413057418262,0.21444144785120423,0.17306374633543045,0,1.73,3.5,5.0,0,0.6286413057418262,86.5,896.0
112,11,0,0.3516611627496999,0.2504367492206688,0.4165144364717124,2,3.8,3.4,2.0,2,0.4165144364717124,100.0,946.0
113,11,30,0.5266259446663392,0.24887746615909584,0.24300990878626283,1,1.88,3.4,4.2,0,0.5266259446663392,-50.0,896.0
114,26,11,0.8053926841676684,0.13826548430604238,0.06388734758763662,0,1.1,9.0,23.0,0,0.8053926841676684,55.00000000000001,901.0
115,38,11,0.48072163767363085,0.26111635523691334,0.2771961155034056,1,1.95,3.5,3.8,0,0.48072163767363085,-50.0,851.0
116,14,11,0.7630415644133661,0.1594953596813567,0.08774333925806971,1,1.25,5.8,12.0,0,0.7630415644133661,-50.0,801.0
117,11,16,0.33895810683496247,0.26146933916503784,0.4186652342198238,1,2.7,3.1,2.7,2,0.4186652342198238,-50.0,751.0
118,49,11,0.4745012110268628,0.25383465590932003,0.29041647650298075,1,1.91,3.3,4.2,0,0.4745012110268628,-50.0,701.0
119,29,11,0.3459027974945457,0.2636206418527923,0.4096443019359283,0,2.25,3.25,3.2,2,0.4096443019359283,-50.0,651.0
120,11,46,0.28537160726677435,0.24789320826498557,0.48517810543441575,1,3.5,3.5,2.05,2,0.48517810543441575,-50.0,601.0
121,23,11,0.3872034798963961,0.2560638575463113,0.3756276486041328,0,2.05,3.5,3.5,0,0.3872034798963961,102.49999999999999,653.5
122,0,11,0.6996734493907047,0.18867811179470723,0.1254731410353986,1,1.35,4.5,10.0,0,0.6996734493907047,-50.0,603.5
123,11,44,0.49706541924967984,0.25829182345066065,0.26356755964606793,1,2.2,3.2,3.4,0,0.49706541924967984,-50.0,553.5
124,11,25,0.11439463490989625,0.17882610046076938,0.7192804146986141,2,11.0,5.25,1.29,2,0.7192804146986141,64.5,568.0
125,10,11,0.5691811943316268,0.24542553224326558,0.20380452109560496,2,1.65,3.6,5.8,0,0.5691811943316268,-50.0,518.0
126,11,43,0.29769720866461213,0.2518988475367022,0.4690668291675445,0,4.5,3.6,1.78,2,0.4690668291675445,-50.0,468.0
127,16,11,0.42049267178468586,0.27030393241815925,0.3285467870453277,1,1.95,3.3,4.2,0,0.42049267178468586,-50.0,418.0
128,11,14,0.18911173937996612,0.23668737543534007,0.5921791621390685,2,7.5,4.0,1.47,2,0.5921791621390685,73.5,441.5
129,11,26,0.1082191723914031,0.17406473111670082,0.7296067270345943,2,15.0,5.8,1.22,2,0.7296067270345943,61.0,452.5
130,11,18,0.4280148181236572,0.27386674782122167,0.31753475931958114,0,2.5,3.1,3.0,0,0.4280148181236572,125.0,527.5
131,30,11,0.26658353565540294,0.2590038061407201,0.4933652789836379,0,2.88,3.1,2.55,2,0.4933652789836379,-50.0,477.5
132,46,11,0.5838652277756171,0.23147535418910048,0.20217241464462027,1,1.73,3.7,4.8,0,0.5838652277756171,-50.0,427.5
133,11,38,0.3875813529372074,0.25501665733597517,0.37625048114072923,0,2.7,3.4,2.55,0,0.3875813529372074,135.0,512.5
134,11,49,0.3418998828540117,0.2574180169761046,0.4196234993606017,0,2.62,3.1,2.8,2,0.4196234993606017,-50.0,462.5
135,44,11,0.2843005749038486,0.25643717561945445,0.4781247812433447,2,2.62,3.2,2.7,2,0.4781247812433447,135.0,547.5
136,11,1,0.4052082151887725,0.2620351439810741,0.351875127981426,2,2.9,3.3,2.4,0,0.4052082151887725,-50.0,497.5
137,43,11,0.6199483682292282,0.21705736085149427,0.17934087012631877,0,1.33,5.0,9.0,0,0.6199483682292282,66.5,514.0
138,1,11,0.48603843926577717,0.25506706998153555,0.2776956158462247,1,2.0,3.4,3.7,0,0.48603843926577717,-50.0,464.0
139,11,29,0.36088596181543264,0.26222880456971165,0.3960133573241687,2,2.2,3.3,3.3,2,0.3960133573241687,165.0,579.0
140,14,16,0.8104306886900497,0.14855404867033423,0.05338441707963107,0,1.25,5.5,13.0,0,0.8104306886900497,62.5,591.5
141,0,14,0.19646686035330496,0.2243103328551337,0.5961281656090891,2,4.75,3.6,1.75,2,0.5961281656090891,87.5,629.0
142,25,14,0.38615817295766053,0.23800413392066228,0.3935356689045519,1,2.45,3.25,2.9,2,0.3935356689045519,-50.0,579.0
143,14,1,0.618496174248496,0.2161568866127959,0.18154300575798166,0,1.29,5.25,11.0,0,0.618496174248496,64.5,593.5
144,43,14,0.2446468326408986,0.23517557343252846,0.537769032683039,2,4.6,3.7,1.75,2,0.537769032683039,87.5,631.0
145,14,26,0.3391230739861842,0.232574856257428,0.44542393097928445,2,2.62,3.2,2.7,2,0.44542393097928445,135.0,716.0
146,14,38,0.6930769960288847,0.19456197381408272,0.12713393603112721,0,1.36,4.6,9.0,0,0.6930769960288847,68.0,734.0
147,14,30,0.7972639403191917,0.14850358062567376,0.06487875451304279,0,1.17,6.5,19.0,0,0.7972639403191917,58.5,742.5
148,29,14,0.14038128337467484,0.19036812960218746,0.6825438519577662,2,9.0,4.75,1.35,2,0.6825438519577662,67.5,760.0
149,44,14,0.1319969256102692,0.17743728109069992,0.701081683378704,2,11.0,5.0,1.3,2,0.701081683378704,65.0,775.0
150,46,14,0.25109885119059805,0.2250282298771049,0.540337529752136,0,4.6,3.7,1.75,2,0.540337529752136,-50.0,725.0
151,14,23,0.6855074319469708,0.18890610964281837,0.13865951426745923,0,1.25,5.5,13.0,0,0.6855074319469708,62.5,737.5
152,14,18,0.7125882500823191,0.17847401427830914,0.12080230879768482,1,1.24,5.8,12.0,0,0.7125882500823191,-50.0,687.5
153,49,14,0.17895555080183279,0.21721312068120371,0.6202033374247528,1,6.5,3.8,1.55,2,0.6202033374247528,-50.0,637.5
154,1,14,0.24463651631859806,0.23467862600665934,0.5382330134961183,2,5.25,3.7,1.67,2,0.5382330134961183,83.5,671.0
155,14,10,0.6583040437980952,0.20271200754858518,0.1539769998512399,1,1.42,4.33,8.0,0,0.6583040437980952,-50.0,621.0
156,14,25,0.35039762892141646,0.22936621175403063,0.4369291483309725,1,3.1,3.4,2.25,2,0.4369291483309725,-50.0,571.0
157,26,14,0.5961538096470255,0.19975321906379728,0.2160081449449764,0,1.67,3.75,5.25,0,0.5961538096470255,83.5,604.5
158,10,14,0.26027507326744753,0.23950051505637301,0.518124684583534,1,5.0,3.5,1.72,2,0.518124684583534,-50.0,554.5
159,14,43,0.4617320456036749,0.24102036854117093,0.31521723462775325,0,1.67,3.8,5.0,0,0.4617320456036749,83.5,588.0
160,16,14,0.19427560830735102,0.2249847356076439,0.597738255619515,2,5.5,3.75,1.63,2,0.597738255619515,81.5,619.5
161,30,14,0.08746469797416698,0.169425766086414,0.7559285502082043,2,11.0,5.25,1.29,2,0.7559285502082043,64.5,634.0
162,14,29,0.6361292879859725,0.21498568880475086,0.1652556899893922,0,1.32,5.0,10.0,0,0.6361292879859725,66.0,650.0
163,38,14,0.18577053187891632,0.2225132334283747,0.6085691522936636,2,4.0,3.6,1.88,2,0.6085691522936636,94.0,694.0
164,14,0,0.5951520227056125,0.21782779566912314,0.20306307306077054,2,1.83,3.5,4.4,0,0.5951520227056125,-50.0,644.0
165,14,46,0.617977058062211,0.20682295862284802,0.18975348365573416,0,1.52,4.2,6.0,0,0.617977058062211,76.0,670.0
166,18,14,0.1966399831358983,0.22048807722645797,0.5993514022418478,0,4.75,3.6,1.75,2,0.5993514022418478,-50.0,620.0
167,14,49,0.6551188853358471,0.20239714948451304,0.15730637954171928,1,1.33,4.75,10.0,0,0.6551188853358471,-50.0,570.0
168,23,14,0.22284131208428665,0.22298257265814594,0.5706345598358573,2,5.0,4.0,1.63,2,0.5706345598358573,81.5,601.5
169,14,44,0.7948931021746337,0.15053762119866232,0.06563343958880286,0,1.15,7.0,19.0,0,0.7948931021746337,57.49999999999999,609.0
170,44,1,0.40381652242241994,0.24375487905212667,0.3706152950592199,0,3.2,3.1,2.38,0,0.40381652242241994,160.0,719.0
171,10,44,0.4210837720854102,0.2503165750811975,0.3472036386353289,0,1.7,3.4,5.5,0,0.4210837720854102,85.0,754.0
172,43,44,0.5869143718493421,0.23219768729497456,0.19848610927856594,0,1.4,4.33,8.5,0,0.5869143718493421,70.0,774.0
173,44,49,0.36433659952438047,0.27023907786402596,0.3847815548060627,2,3.3,3.1,2.3,2,0.3847815548060627,114.99999999999999,839.0
174,30,44,0.35249653069767506,0.2658375809879631,0.40090364920807187,2,2.15,3.3,3.5,2,0.40090364920807187,175.0,964.0
175,44,29,0.4510708507043073,0.2511623278880737,0.31640152736195637,1,2.25,3.25,3.25,0,0.4510708507043073,-50.0,914.0
176,23,44,0.46019422083960315,0.25140738629960263,0.3070409378368733,0,1.75,3.7,4.6,0,0.46019422083960315,87.5,951.5
177,44,25,0.12132721097617279,0.17768376699761002,0.7125958401559058,2,8.5,5.0,1.35,2,0.7125958401559058,67.5,969.0
178,18,44,0.6209722198421005,0.2248416754034224,0.1714417072161834,2,1.65,3.7,5.5,0,0.6209722198421005,-50.0,919.0
179,44,38,0.3679618625445505,0.2601965941922009,0.3909002127131154,2,3.1,3.3,2.3,2,0.3909002127131154,114.99999999999999,984.0
180,0,44,0.6650301355798759,0.20200111234542056,0.1480600537412275,0,1.38,4.6,8.5,0,0.6650301355798759,69.0,1003.0
181,44,26,0.12707539964746012,0.17333196448942764,0.7092696574750855,2,13.0,6.5,1.2,2,0.7092696574750855,60.0,1013.0
182,44,46,0.30193038588516136,0.2496011425187119,0.4670120188056185,2,3.25,3.5,2.15,2,0.4670120188056185,107.5,1070.5
183,44,43,0.20137790781965814,0.22130911737651782,0.5938248801784676,2,5.25,3.9,1.63,2,0.5938248801784676,81.5,1102.0
184,29,44,0.40070448020169164,0.25512668747737,0.3630199832915158,1,2.05,3.4,3.6,0,0.40070448020169164,-50.0,1052.0
185,44,30,0.4852716585721812,0.25489008746629443,0.2786321184110926,2,2.05,3.4,3.6,0,0.4852716585721812,-50.0,1002.0
186,46,44,0.6721308256632379,0.1998585189795247,0.14295569409037254,0,1.47,4.4,6.5,0,0.6721308256632379,73.5,1025.5
187,44,10,0.2295074361703713,0.25496723342023253,0.5343227475876,2,3.6,3.25,2.1,2,0.5343227475876,105.0,1080.5
